hex_id,amen_along_traj
8828309523fffff,"[('restaurant', 196), ('cafe', 195), ('place_of_worship', 395), ('pub', 70), ('parking', 199), ('bench', 7), ('bbq', 4), ('drinking_water', 2), ('school', 2), ('fire_station', 2), ('parking_space', 3)]"
88283082c3fffff,"[('cafe', 818), ('post_box', 169), ('bicycle_repair_station', 246), ('theatre', 246), ('restaurant', 2242), ('bicycle_parking', 766), ('parking_entrance', 141), ('parking', 430), ('college', 106), ('parking_space', 175), ('bar', 526), ('toilets', 97), ('drinking_water', 97), ('pub', 250), ('fast_food', 212), ('atm', 116), ('nightclub', 149), ('bicycle_rental', 96), ('clinic', 84), ('school', 140), ('place_of_worship', 133), ('community_centre', 134), ('ice_cream', 46), ('motorcycle_parking', 36), ('library', 1), ('doctors', 6)]"
88283082c1fffff,"[('parking', 8549), ('toilets', 1758), ('restaurant', 15848), ('fast_food', 5547), ('post_box', 6401), ('cafe', 7669), ('bank', 1906), ('bar', 5871), ('atm', 1998), ('dentist', 2178), ('taxi', 1810), ('place_of_worship', 4355), ('motorcycle_rental', 1248), ('nightclub', 1251), ('telephone', 1099), ('car_wash', 1294), ('cinema', 1336), ('hospital', 1292), ('bicycle_rental', 1048), ('library', 509), ('school', 700), ('bicycle_parking', 1074), ('pub', 137), ('fuel', 84), ('public_bookcase', 107), ('theatre', 122), ('driving_school', 122), ('social_facility', 130), ('money_transfer', 93), ('post_office', 7), ('ice_cream', 69), ('drinking_water', 5), ('arts_centre', 7), ('college', 1), ('parking_space', 6)]"
88283082c7fffff,"[('cafe', 1184), ('parking', 1770), ('veterinary', 499), ('restaurant', 883), ('post_box', 129), ('theatre', 39), ('social_facility', 38), ('place_of_worship', 56), ('school', 57), ('bicycle_parking', 66), ('bicycle_rental', 67), ('motorcycle_parking', 56), ('bar', 67), ('bicycle_repair_station', 1), ('community_centre', 4), ('pub', 6), ('hospital', 1), ('fire_station', 4), ('fast_food', 2), ('music_school', 2), ('ice_cream', 1)]"
88283082cbfffff,"[('cafe', 2806), ('restaurant', 1405), ('doctors', 3531), ('fire_station', 1313), ('parking', 1341), ('bank', 49), ('dentist', 35), ('ice_cream', 18), ('waste_basket', 68), ('music_school', 22), ('bicycle_repair_station', 22), ('pub', 4), ('fast_food', 5), ('post_box', 61), ('studio', 5), ('clinic', 2), ('public_bookcase', 2), ('drinking_water', 2), ('bench', 8), ('place_of_worship', 40), ('toilets', 2), ('taxi', 5), ('school', 32), ('hospital', 5), ('bicycle_parking', 2), ('arts_centre', 2)]"
882830953dfffff,"[('cafe', 693), ('fast_food', 689), ('car_rental', 689), ('restaurant', 3521), ('bar', 692), ('vending_machine', 690), ('post_office', 688), ('post_box', 692), ('bicycle_parking', 2064), ('bench', 2068), ('clinic', 690), ('library', 693), ('parking', 703), ('school', 800), ('motorcycle_parking', 690), ('shelter', 696), ('bicycle_rental', 517), ('parking_entrance', 3), ('social_facility', 5), ('place_of_worship', 4), ('fuel', 1)]"
8828309515fffff,"[('place_of_worship', 825), ('restaurant', 3191), ('bar', 859), ('toilets', 758), ('music_school', 833), ('dojo', 845), ('library', 833), ('parking', 908), ('cafe', 724), ('bicycle_parking', 40), ('bicycle_rental', 27), ('waste_basket', 107), ('bus_station', 10), ('college', 46), ('fire_station', 13), ('parking_entrance', 22), ('bank', 11), ('fast_food', 22), ('veterinary', 11), ('school', 22), ('kindergarten', 1), ('fuel', 8), ('theatre', 1), ('pharmacy', 1)]"
8828309511fffff,"[('restaurant', 2186), ('place_of_worship', 314), ('parking', 542), ('pharmacy', 112), ('cafe', 211), ('school', 155), ('fuel', 115), ('laundry', 12), ('bicycle_rental', 17), ('clock', 2), ('bench', 60), ('music_school', 2), ('waste_basket', 2), ('toilets', 5), ('bicycle_parking', 2)]"
88283095e9fffff,"[('bench', 28), ('bar', 4), ('post_office', 4), ('restaurant', 29), ('prep_school', 2), ('training', 9), ('clinic', 4), ('library', 8), ('public_bookcase', 8), ('parking', 26), ('pharmacy', 7), ('bank', 2), ('parking_space', 175), ('dentist', 13), ('veterinary', 5), ('toilets', 4), ('bicycle_parking', 4), ('community_centre', 2), ('school', 3), ('bus_station', 1), ('cafe', 3), ('post_box', 6), ('telephone', 4), ('social_centre', 2), ('studio', 1), ('place_of_worship', 6), ('fuel', 2), ('pub', 2)]"
8828308253fffff,"[('lead_inspector', 320), ('fast_food', 300), ('telephone', 600), ('place_of_worship', 975), ('parking', 896), ('restaurant', 405), ('bench', 922), ('bicycle_parking', 94), ('bicycle_rental', 377), ('pub', 125), ('fuel', 123), ('post_office', 2), ('cafe', 2), ('arts_centre', 2), ('toilets', 12), ('doctors', 2), ('moving_storage', 1), ('police', 1)]"
882830821dfffff,"[('post_depot', 508), ('bar', 574), ('place_of_worship', 130), ('post_box', 5), ('college', 10), ('parking', 29), ('restaurant', 4), ('cafe', 4), ('bicycle_rental', 5), ('school', 14), ('post_office', 1)]"
8828308213fffff,"[('parking', 696), ('fire_station', 187), ('post_office', 92), ('parking_space', 5865)]"
88283082edfffff,"[('post_box', 174), ('bench', 281), ('bicycle_rental', 169), ('restaurant', 166), ('parking_entrance', 136), ('parking', 432), ('post_depot', 86), ('place_of_worship', 10), ('bar', 6), ('cafe', 9), ('car_sharing', 1)]"
8828308215fffff,"[('post_box', 93), ('college', 447), ('parking', 1062), ('community_centre', 123), ('theatre', 122), ('post_depot', 186), ('cafe', 1), ('place_of_worship', 3)]"
882830829dfffff,"[('place_of_worship', 1455), ('restaurant', 2218), ('bicycle_parking', 4392), ('bar', 634), ('fast_food', 902), ('post_office', 590), ('veterinary', 634), ('fuel', 1268), ('parking', 741), ('waste_basket', 506), ('post_box', 654), ('bench', 17), ('parking_entrance', 14), ('bicycle_rental', 6), ('public_bookcase', 5), ('school', 20), ('cafe', 2), ('parking_space', 29)]"
8828308299fffff,"[('post_box', 1195), ('public_bookcase', 579), ('bicycle_rental', 624), ('bench', 2096), ('waste_basket', 2222), ('parking', 600), ('school', 143), ('university', 626), ('restaurant', 173), ('bicycle_parking', 225), ('fuel', 172), ('commercial', 8), ('fast_food', 2), ('cafe', 4), ('pub', 4)]"
88283082e1fffff,"[('bicycle_parking', 1721), ('waste_basket', 744), ('bench', 1060), ('cafe', 181), ('recycling', 94), ('conference_centre', 94), ('bank', 94), ('parking', 304), ('university', 123), ('post_box', 49), ('restaurant', 103), ('drinking_water', 43), ('bicycle_rental', 46), ('toilets', 11), ('place_of_worship', 3), ('fast_food', 3), ('post_office', 2), ('bar', 4), ('atm', 1), ('pub', 28), ('hospital', 6), ('clinic', 14), ('school', 5)]"
8828308285fffff,"[('post_box', 1247), ('restaurant', 1048), ('motorcycle_parking', 933), ('vending_machine', 2543), ('waste_basket', 1030), ('vacuum_cleaner', 587), ('police', 865), ('fuel', 786), ('parking', 2920), ('fast_food', 786), ('bicycle_rental', 1084), ('kindergarten', 624), ('bench', 162), ('cafe', 434), ('bar', 320), ('school', 54), ('toilets', 54), ('fire_station', 118), ('nightclub', 52), ('charging_station', 52), ('car_wash', 62), ('bicycle_parking', 1170), ('bank', 144), ('social_facility', 157), ('prison', 110), ('car_rental', 29), ('music_school', 2), ('arts_centre', 4), ('pub', 2), ('courthouse', 2)]"
88283082a3fffff,"[('fast_food', 3210), ('restaurant', 7464), ('bench', 2279), ('parking_entrance', 2929), ('clinic', 715), ('waste_basket', 2225), ('vending_machine', 1866), ('bicycle_parking', 2090), ('cafe', 3955), ('ice_cream', 138), ('toilets', 360), ('motorcycle_parking', 498), ('fountain', 347), ('dentist', 1048), ('post_box', 3785), ('bank', 4691), ('parking', 1988), ('atm', 1971), ('bicycle_rental', 776), ('marketplace', 361), ('pharmacy', 86), ('bar', 1347), ('post_office', 269), ('taxi', 514), ('clock', 268), ('coworking_space', 203), ('university', 739), ('pub', 474), ('school', 252), ('brokerage', 80), ('arts_centre', 131), ('nightclub', 28), ('fire_station', 10), ('theatre', 10), ('stage', 10), ('events_venue', 1)]"
8828309535fffff,"[('post_box', 108), ('toilets', 206), ('drinking_water', 110), ('bench', 876), ('school', 2), ('fire_station', 1), ('place_of_worship', 2)]"
88283082a7fffff,"[('bicycle_parking', 1106), ('fast_food', 1808), ('restaurant', 691), ('cafe', 403), ('reception_desk', 678), ('coworking_space', 226), ('vending_machine', 925), ('waste_basket', 407), ('dentist', 226), ('parking_entrance', 226), ('parking', 226), ('food_court', 226), ('bicycle_rental', 14), ('motorcycle_parking', 5)]"
88283082a1fffff,"[('cafe', 1796), ('taxi', 142), ('bar', 1138), ('parking', 905), ('pub', 824), ('bicycle_parking', 2360), ('post_box', 788), ('restaurant', 3095), ('nightclub', 332), ('fast_food', 629), ('bank', 1079), ('theatre', 352), ('atm', 376), ('waste_basket', 339), ('bench', 950), ('loading_dock', 354), ('vending_machine', 480), ('university', 703), ('bicycle_rental', 353), ('toilets', 1281), ('clinic', 352), ('school', 314), ('fountain', 324), ('motorcycle_parking', 19), ('storage', 10), ('parking_entrance', 40), ('car_sharing', 1)]"
88283082c9fffff,"[('cafe', 317), ('fuel', 305), ('restaurant', 1821), ('bar', 317), ('post_box', 583), ('nightclub', 247), ('pharmacy', 211), ('bicycle_rental', 406), ('bicycle_parking', 54), ('parking', 342), ('parking_entrance', 316), ('hospital', 159), ('clinic', 160), ('telephone', 1), ('motorcycle_rental', 1), ('place_of_worship', 1), ('charging_station', 1), ('food_court', 2), ('ice_cream', 3), ('post_office', 2), ('parcel_locker', 2), ('atm', 2)]"
88283095a7fffff,"[('bank', 1243), ('post_box', 631), ('fuel', 138), ('atm', 531), ('bicycle_parking', 2291), ('restaurant', 2907), ('place_of_worship', 572), ('school', 138), ('mortuary', 138), ('parking', 1287), ('cafe', 1054), ('fast_food', 952), ('dentist', 1284), ('bar', 971), ('bench', 1750), ('waste_basket', 336), ('clinic', 698), ('bicycle_rental', 126), ('parking_entrance', 268), ('pub', 364), ('dojo', 87), ('library', 2), ('toilets', 3), ('public_bookcase', 7), ('police', 1)]"
88283082b9fffff,"[('place_of_worship', 1583), ('restaurant', 3673), ('post_box', 1244), ('pharmacy', 146), ('parking_entrance', 675), ('bicycle_parking', 2064), ('bench', 797), ('social_facility', 393), ('parking', 1169), ('hospital', 201), ('fountain', 141), ('pub', 1498), ('fast_food', 1240), ('nightclub', 776), ('cafe', 1072), ('atm', 609), ('bar', 1009), ('waste_basket', 2106), ('bicycle_rental', 171), ('drinking_water', 144), ('community_centre', 147), ('fire_station', 143), ('parking_space', 2715), ('car_rental', 619), ('dentist', 337), ('dojo', 681), ('clinic', 336), ('karaoke_box', 73), ('library', 1), ('college', 1), ('theatre', 6), ('motorcycle_parking', 12), ('bank', 1), ('post_office', 1), ('school', 4)]"
8828308295fffff,"[('cinema', 536), ('drinking_water', 499), ('post_box', 1250), ('bar', 1683), ('restaurant', 9644), ('parking_entrance', 1506), ('parking', 3865), ('fast_food', 1078), ('public_bath', 449), ('bicycle_parking', 1792), ('cafe', 967), ('toilets', 1359), ('atm', 845), ('bench', 15353), ('place_of_worship', 536), ('bicycle_rental', 537), ('ice_cream', 415), ('bank', 734), ('community_centre', 710), ('charging_station', 361), ('karaoke_box', 361), ('motorcycle_parking', 341), ('fountain', 730), ('waste_basket', 715), ('taxi', 361), ('music_venue', 85), ('hospital', 15), ('fuel', 47), ('pharmacy', 5), ('post_office', 1), ('vending_machine', 1), ('car_wash', 1), ('loading_dock', 1), ('conference_centre', 1), ('school', 1), ('social_facility', 2), ('clinic', 2), ('research_institute', 2), ('language_school', 2), ('parking_space', 24)]"
8828308281fffff,"[('bicycle_rental', 110), ('parking', 3511), ('cafe', 69), ('university', 100), ('bicycle_parking', 844), ('social_facility', 525), ('place_of_worship', 102), ('restaurant', 364), ('pub', 70), ('bar', 16), ('post_box', 31), ('school', 27), ('dojo', 7), ('vending_machine', 4), ('community_centre', 2), ('arts_centre', 1), ('waste_basket', 1), ('theatre', 2), ('concert_hall', 1), ('townhall', 1)]"
882830829bfffff,"[('post_box', 830), ('bank', 413), ('restaurant', 1729), ('cafe', 761), ('dentist', 412), ('bicycle_rental', 397), ('bicycle_parking', 541), ('fast_food', 412), ('parking', 545), ('clinic', 414), ('school', 342), ('fuel', 54), ('bench', 161), ('doctors', 52), ('car_wash', 54), ('waste_basket', 22), ('parking_space', 146), ('university', 23), ('public_bookcase', 1), ('vending_machine', 2), ('veterinary', 2)]"
88283082d7fffff,"[('bench', 648), ('hospital', 234), ('parking', 676), ('post_box', 164), ('parking_entrance', 79), ('school', 6), ('restaurant', 50), ('fountain', 2), ('waste_basket', 2), ('bicycle_parking', 3), ('ice_cream', 3), ('cafe', 11), ('fast_food', 3), ('place_of_worship', 1)]"
88283082d5fffff,"[('fast_food', 1349), ('restaurant', 11544), ('cafe', 3857), ('ice_cream', 1080), ('bar', 3959), ('pharmacy', 1339), ('atm', 657), ('clinic', 787), ('taxi', 638), ('bank', 2275), ('parking', 1482), ('cinema', 377), ('shop', 725), ('post_box', 767), ('public_bookcase', 249), ('school', 856), ('place_of_worship', 231), ('grave_yard', 198), ('bicycle_rental', 43), ('fire_station', 43), ('pub', 52), ('bicycle_parking', 67), ('training', 40), ('parking_entrance', 51), ('car_wash', 31), ('fuel', 98), ('fixme', 6), ('mortuary', 9), ('post_office', 10), ('library', 8), ('toilets', 8), ('vending_machine', 8), ('waste_basket', 11), ('bench', 1), ('dojo', 1)]"
88283095cbfffff,"[('toilets', 1701), ('atm', 914), ('cafe', 1089), ('bicycle_parking', 431), ('parking', 490), ('theatre', 560), ('restaurant', 2)]"
882830828dfffff,"[('car_rental', 126), ('loading_dock', 117), ('parking_entrance', 724), ('parking', 1987), ('waste_basket', 324), ('post_box', 445), ('motorcycle_parking', 298), ('fuel', 400), ('restaurant', 54), ('place_of_worship', 417), ('fast_food', 367), ('post_depot', 317), ('doctors', 7), ('bicycle_rental', 13), ('bicycle_parking', 17), ('marketplace', 10), ('bar', 7), ('animal_boarding', 2), ('vending_machine', 4), ('cafe', 6), ('car_wash', 2), ('atm', 6), ('telephone', 3), ('arts_centre', 2), ('bench', 23), ('music_rehearsal_place', 7), ('animal_shelter', 2), ('car_sharing', 1), ('nightclub', 1), ('studio', 1)]"
