hex_id,amen_count
88283082e7fffff,1095
88283082a3fffff,689
88283082abfffff,636
88283082bdfffff,535
88283082a1fffff,532
88283082a7fffff,526
88283082a9fffff,450
88283082b5fffff,434
8828308287fffff,396
88283095cdfffff,370
8828308295fffff,334
8828308761fffff,313
88283082b9fffff,296
8828308289fffff,287
8828308281fffff,252
88283082e3fffff,248
88283082e1fffff,243
8828309553fffff,237
88283082adfffff,230
88283080c9fffff,217
8828308285fffff,214
8828308283fffff,205
88283082b7fffff,201
882830828bfffff,200
882830829bfffff,194
88283095b5fffff,192
8828308749fffff,188
88283080cbfffff,180
88283095e9fffff,178
882830829dfffff,178
88283082d5fffff,176
88283082c3fffff,169
88283082c1fffff,165
88283095a7fffff,162
8828308291fffff,159
88283095a5fffff,159
882830951bfffff,157
882830876dfffff,156
88283095abfffff,156
88283082b1fffff,154
882830828dfffff,153
8828308299fffff,152
8828309513fffff,148
882830876bfffff,142
88283080d9fffff,138
88283095a9fffff,137
88283082b3fffff,121
88283082d7fffff,115
88283082c7fffff,114
882830874dfffff,107
88283095adfffff,106
88283082d3fffff,103
88283095b1fffff,102
88283082c9fffff,99
8828308745fffff,91
88283082bbfffff,86
8828308213fffff,85
88283082cbfffff,85
8828308293fffff,80
88283095ebfffff,77
88283082c5fffff,72
8828309585fffff,70
8828308769fffff,70
8828308297fffff,70
88283095a3fffff,67
88283082ebfffff,66
8828309589fffff,66
8828309529fffff,65
88283095b9fffff,60
8828309535fffff,59
8828309587fffff,59
8828309515fffff,58
88283095b3fffff,56
88283095bbfffff,56
8828309525fffff,55
88283082ddfffff,55
88283095c7fffff,55
882830958dfffff,50
8828309511fffff,49
8828308219fffff,49
88283082edfffff,49
8828309537fffff,48
8828308253fffff,47
88283095e5fffff,44
882830959dfffff,44
88283095c5fffff,44
8828309501fffff,43
8828309507fffff,43
882830953dfffff,43
882830958bfffff,42
88283095c1fffff,41
88283095e3fffff,41
88283082d1fffff,40
8828309503fffff,39
8828309427fffff,39
88283095bdfffff,34
88283082cdfffff,34
88283095c3fffff,33
8828309425fffff,33
8828309539fffff,33
8828308211fffff,30
8828308217fffff,30
8828309527fffff,30
88283082e5fffff,29
882830874bfffff,29
8828309583fffff,29
882830821bfffff,28
882830951dfffff,28
8828309505fffff,28
8828309519fffff,27
8828309533fffff,27
8828308257fffff,27
88283082e9fffff,27
88283095e1fffff,26
882830950bfffff,26
8828309523fffff,25
8828308203fffff,25
8828308747fffff,24
88283095cbfffff,23
88283095ddfffff,23
8828309565fffff,22
8828309531fffff,22
8828309555fffff,21
8828309557fffff,21
8828308251fffff,21
88283095b7fffff,21
882830821dfffff,21
8828309581fffff,20
882830953bfffff,20
88283082d9fffff,18
8828309567fffff,17
8828309563fffff,17
882830820bfffff,17
8828308215fffff,16
88283082dbfffff,14
882830952dfffff,14
882830952bfffff,13
88283095edfffff,13
8828309521fffff,12
8828309509fffff,12
882830950dfffff,9
88283095d5fffff,8
8828308259fffff,8
88283095e7fffff,8
882830825bfffff,6
88283095c9fffff,5
882830823bfffff,4
8828309517fffff,4
8828308209fffff,3
