hex_id,amenity_types
8828309523fffff,"bbq,bench,cafe,drinking_water,fire_station,parking,parking_space,place_of_worship,post_box,pub,restaurant,school,toilets"
88283082c3fffff,"arts_centre,atm,bank,bar,bench,bicycle_parking,bicycle_rental,bicycle_repair_station,cafe,cinema,clinic,college,doctors,drinking_water,fast_food,ice_cream,motorcycle_parking,nightclub,parking,parking_entrance,parking_space,place_of_worship,post_box,pub,recycling,restaurant,school,theatre,toilets,waste_basket"
88283082c1fffff,"arts_centre,atm,bank,bar,bicycle_parking,bicycle_rental,bureau_de_change,cafe,car_wash,cinema,college,dentist,drinking_water,driving_school,fast_food,fuel,hospital,ice_cream,library,money_transfer,nightclub,parking,pharmacy,place_of_worship,post_box,post_office,pub,public_bookcase,restaurant,school,social_facility,taxi,telephone,theatre,toilets"
88283082c7fffff,"bar,bicycle_parking,bicycle_rental,bicycle_repair_station,cafe,community_centre,dentist,fast_food,fire_station,hospital,motorcycle_parking,music_school,parking,place_of_worship,post_box,pub,restaurant,school,telephone,theatre,veterinary,waste_basket"
88283082cbfffff,"bank,bench,bicycle_parking,bicycle_rental,bicycle_repair_station,cafe,clinic,dentist,doctors,drinking_water,fast_food,fire_station,hospital,music_school,parking,place_of_worship,post_box,pub,public_bookcase,restaurant,school,studio,taxi,toilets,waste_basket"
882830953dfffff,"bar,bench,bicycle_parking,bicycle_rental,cafe,car_rental,clinic,fast_food,fuel,library,motorcycle_parking,parking,parking_entrance,place_of_worship,post_box,post_office,restaurant,school,shelter,social_facility,vending_machine"
8828309515fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,bus_station,cafe,college,dojo,fast_food,fire_station,fuel,kindergarten,library,music_school,parking,parking_entrance,restaurant,school,theatre,toilets,veterinary,waste_basket"
8828309511fffff,"bench,bicycle_parking,bicycle_rental,cafe,clock,fuel,laundry,parking,pharmacy,place_of_worship,restaurant,school,toilets"
88283095e9fffff,"bank,bar,bench,bicycle_parking,bus_station,cafe,cinema,clinic,community_centre,dentist,doctors,fast_food,fountain,fuel,library,parking,parking_space,pharmacy,place_of_worship,post_box,post_office,prep_school,pub,public_bookcase,restaurant,school,social_centre,studio,telephone,toilets,training,veterinary"
8828308253fffff,"arts_centre,bench,bicycle_parking,bicycle_rental,cafe,clinic,fast_food,fuel,lead_inspector,moving_storage,parking,pharmacy,place_of_worship,police,post_box,post_office,pub,restaurant,telephone,toilets"
882830821dfffff,"bar,bench,bicycle_parking,bicycle_rental,clinic,clock,parking,place_of_worship,post_depot,school,toilets"
8828308213fffff,"car_wash,fire_station,fuel,parking,parking_space,post_box,post_office"
88283082edfffff,"bar,bicycle_parking,bicycle_rental,brewery,cafe,car_sharing,parking,parking_entrance,place_of_worship,post_box,post_depot,recycling,restaurant,vending_machine,waste_basket"
8828308215fffff,"cafe,charging_station,college,community_centre,parking,post_box,post_depot,post_office,theatre"
