h3_index,geometry
8828309581fffff,"POLYGON ((-122.48955557021581 37.7520392936989, -122.48508730507079 37.755584856065546, -122.48653735976947 37.76027553702066, -122.49245601683499 37.76142046892287, -122.4969240672289 37.75787478980175, -122.49547367535688 37.75318429554275, -122.48955557021581 37.7520392936989))"
882830829bfffff,"POLYGON ((-122.45234811103035 37.77570845652046, -122.44787647847228 37.77925273106344, -122.4493255342041 37.783943456932086, -122.45524656046348 37.785089721981564, -122.45971797898419 37.781545330604914, -122.45826858533128 37.77685479102239, -122.45234811103035 37.77570845652046))"
882830828dfffff,"POLYGON ((-122.40945463242254 37.76298184766419, -122.40498084237768 37.76652516103145, -122.40642818680486 37.771217589546495, -122.41234965984782 37.77236651869775, -122.41682323684428 37.768823088264455, -122.41537555389459 37.76413084575589, -122.40945463242254 37.76298184766419))"
88283082abfffff,"POLYGON ((-122.40340120235787 37.77945288562526, -122.39892632184691 37.78299582193438, -122.40037367895451 37.787687735526404, -122.40629625534778 37.78883652694052, -122.41077092287513 37.78529347359727, -122.40932322704121 37.78060174588399, -122.40340120235787 37.77945288562526))"
882830950bfffff,"POLYGON ((-122.44837557330267 37.70876659936582, -122.44390656799126 37.71231164685789, -122.4453545493304 37.717005243350734, -122.45127187357896 37.718153605782796, -122.45574066521506 37.71460844120174, -122.45429234632627 37.70991503128748, -122.44837557330267 37.70876659936582))"
8828309565fffff,"POLYGON ((-122.40248419431235 37.70426183926094, -122.39801249019256 37.707805739822945, -122.39945876853805 37.7125007804866, -122.40537708930319 37.71365173436372, -122.40984858076718 37.71010771649662, -122.40840196417017 37.70541286206742, -122.40248419431235 37.70426183926094))"
88283082b9fffff,"POLYGON ((-122.42116698852692 37.78289841436256, -122.41669307951518 37.786441773353644, -122.41814112039496 37.7911330575155, -122.42406340880041 37.79228079669274, -122.4285371044262 37.78873732075713, -122.42708872508095 37.78404622259876, -122.42116698852692 37.78289841436256))"
88283095e1fffff,"POLYGON ((-122.46443303716792 37.74276400604362, -122.45996358422056 37.74630903080213, -122.46141261255478 37.75100078523914, -122.46733143139899 37.75214732838591, -122.47180067018107 37.74860218672978, -122.47035130433265 37.7439106188344, -122.46443303716792 37.74276400604362))"
88283095c3fffff,"POLYGON ((-122.49559037877916 37.73556547623275, -122.49112320284402 37.73911141211509, -122.49257324317678 37.74380260664484, -122.49849079646327 37.74494767847819, -122.5029577575839 37.741401625809274, -122.501507380281 37.73671061810342, -122.49559037877916 37.73556547623275))"
8828308297fffff,"POLYGON ((-122.4389319091904 37.78634078710608, -122.43445897244875 37.78988456842068, -122.435907696754 37.79457522286775, -122.44182969605376 37.79572190988203, -122.4463024190072 37.79217801171267, -122.44485335649753 37.7874875433937, -122.4389319091904 37.78634078710608))"
8828309507fffff,"POLYGON ((-122.4349672549359 37.71940125117305, -122.43049694717425 37.72294580781096, -122.43194459741119 37.72763933445171, -122.43786289329054 37.728788118044086, -122.44233298762562 37.72524344429653, -122.44088499955626 37.72055010407614, -122.4349672549359 37.71940125117305))"
882830952bfffff,"POLYGON ((-122.42457878251383 37.72179646429934, -122.42010771691542 37.72534071661794, -122.42155502913886 37.73003442958467, -122.42747374502257 37.73118370391673, -122.43194459741119 37.72763933445171, -122.43049694717425 37.72294580781096, -122.42457878251383 37.72179646429934))"
8828309587fffff,"POLYGON ((-122.48653735976947 37.76027553702066, -122.48206854987198 37.76382091231292, -122.48351861171089 37.768511336236, -122.48943782077076 37.76965619824446, -122.49390641594889 37.76611070621372, -122.49245601683499 37.76142046892287, -122.48653735976947 37.76027553702066))"
8828308209fffff,"POLYGON ((-122.36828227757688 37.71967519786111, -122.3638077580152 37.72321799584023, -122.36525302649395 37.72791333818313, -122.37117315347894 37.72906569667006, -122.37564746106892 37.72552278129231, -122.37420185369392 37.72082762483621, -122.36828227757688 37.71967519786111))"
8828309515fffff,"POLYGON ((-122.45272019929955 37.72284675948857, -122.44825086316872 37.72639173728677, -122.44969919569253 37.731084634620586, -122.4556172019673 37.73223236762108, -122.46008632427028 37.72868727280308, -122.4586376541747 37.72399456201426, -122.45272019929955 37.72284675948857))"
88283082b3fffff,"POLYGON ((-122.42551179471978 37.796971637173684, -122.42103755371477 37.80051492442699, -122.42248594617955 37.80520550706759, -122.42840891818561 37.80635261649481, -122.43288294565184 37.802809212365645, -122.43143421469924 37.798118815695084, -122.42551179471978 37.796971637173684))"
8828309523fffff,"POLYGON ((-122.42155502913886 37.73003442958467, -122.41708341884751 37.73357849453532, -122.41853073756909 37.73827195093835, -122.42445000474562 37.739421156138576, -122.4289214018594 37.735876974057675, -122.42747374502257 37.73118370391673, -122.42155502913886 37.73003442958467))"
88283095a7fffff,"POLYGON ((-122.4627394587698 37.77331021175941, -122.45826858533128 37.77685479102239, -122.45971797898419 37.781545330604914, -122.46563858386365 37.782691104554125, -122.47010924304796 37.77914640849451, -122.46865951165546 37.77445605529221, -122.4627394587698 37.77331021175941))"
88283082edfffff,"POLYGON ((-122.38432356237524 37.753688825354175, -122.37984858920824 37.757231598831176, -122.38129490479633 37.761925099453045, -122.38721653246223 37.76307564075689, -122.39169129316812 37.75953275007159, -122.39024463871759 37.754839435300696, -122.38432356237524 37.753688825354175))"
88283095cbfffff,"POLYGON ((-122.4986069771498 37.72732790283693, -122.4941403456721 37.73087402516052, -122.49559037877916 37.73556547623275, -122.501507380281 37.73671061810342, -122.50597379691253 37.733164378977165, -122.50452342693683 37.72847311479274, -122.4986069771498 37.72732790283693))"
882830953dfffff,"POLYGON ((-122.43194459741119 37.72763933445171, -122.42747374502257 37.73118370391673, -122.4289214018594 37.735876974057675, -122.43484024906729 37.73702568838709, -122.43931088806146 37.7334812018286, -122.43786289329054 37.728788118044086, -122.43194459741119 37.72763933445171))"
