hex_id,sub_traj_count
88283082c1fffff,943
8828308289fffff,696
88283082cbfffff,670
882830821dfffff,456
8828309515fffff,423
88283082c7fffff,410
8828308285fffff,405
8828308295fffff,387
882830953dfffff,347
8828308281fffff,338
8828309511fffff,336
8828308299fffff,322
88283082d5fffff,317
882830828dfffff,310
8828308219fffff,297
8828309585fffff,290
88283082a9fffff,285
88283082a3fffff,278
88283095cbfffff,274
88283082e1fffff,272
882830829dfffff,260
8828308215fffff,258
8828308213fffff,252
88283082b3fffff,250
8828308253fffff,245
88283095a7fffff,240
882830821bfffff,212
8828308217fffff,204
88283082b9fffff,202
8828308291fffff,194
8828308761fffff,191
88283082a1fffff,190
8828309537fffff,184
88283082e3fffff,180
882830829bfffff,174
8828308287fffff,173
88283082abfffff,168
88283082c3fffff,167
88283082c9fffff,165
8828309523fffff,156
882830950bfffff,154
88283095b5fffff,147
8828308283fffff,141
8828308251fffff,140
882830828bfffff,136
88283095c7fffff,131
88283082edfffff,126
88283095ebfffff,125
88283082d7fffff,122
8828309507fffff,118
882830959dfffff,113
88283082a7fffff,113
88283095c1fffff,110
88283082ebfffff,110
88283082b5fffff,101
88283082cdfffff,99
8828309565fffff,99
88283082bbfffff,95
88283095a5fffff,89
88283082adfffff,87
88283095c3fffff,85
8828308203fffff,84
88283080d9fffff,74
88283082ddfffff,69
8828309539fffff,65
882830876dfffff,63
88283095e7fffff,62
8828308257fffff,62
8828309563fffff,59
88283082bdfffff,59
8828309557fffff,58
8828309535fffff,58
88283082b7fffff,56
8828309553fffff,53
88283082c5fffff,51
8828309501fffff,47
8828309529fffff,43
88283095a9fffff,42
88283082e5fffff,40
882830876bfffff,39
8828309583fffff,38
88283080c9fffff,37
8828308293fffff,37
8828309567fffff,33
882830823bfffff,32
8828308211fffff,32
88283082e7fffff,31
88283095ddfffff,29
8828309517fffff,28
88283082d3fffff,27
88283082b1fffff,27
8828309525fffff,25
88283095e9fffff,24
88283095bdfffff,24
88283095edfffff,22
88283095e1fffff,22
882830820bfffff,21
882830950dfffff,20
8828309521fffff,17
8828309533fffff,17
88283095e5fffff,17
882830951bfffff,16
882830953bfffff,15
8828309513fffff,15
88283082d1fffff,14
8828309527fffff,14
88283095c5fffff,13
88283082dbfffff,13
88283082e9fffff,11
8828309509fffff,11
882830951dfffff,11
882830952bfffff,10
882830952dfffff,10
88283095b7fffff,9
88283095e3fffff,9
8828308297fffff,8
8828309505fffff,8
8828309531fffff,8
88283095bbfffff,8
88283095b1fffff,8
8828309587fffff,7
8828308749fffff,6
8828308769fffff,6
88283080cbfffff,6
882830874dfffff,6
8828309519fffff,5
88283095b9fffff,5
88283095cdfffff,5
88283095a3fffff,4
8828308747fffff,4
88283095d5fffff,4
882830958bfffff,4
882830825bfffff,4
882830874bfffff,3
88283082d9fffff,3
8828309503fffff,3
8828309589fffff,3
882830958dfffff,3
88283095c9fffff,2
8828308259fffff,2
8828309555fffff,2
88283095b3fffff,2
8828308745fffff,2
8828309425fffff,1
8828309581fffff,1
88283095adfffff,1
8828309427fffff,1
88283095abfffff,1
8828308209fffff,1
